Gene	Closest_gene	Distance
YDL076C	YDL074C	2495
YDL075W	YDL082W	12838
YDL074C	YDL072C	3687
YDL073W	YDL075W	3625
YDL072C	YDL071C	219
YDL071C	YDL069C	2081
YDL070W	YDL073W	1457
YDL069C	YDL067C	407
YDL068W	YDL070W	560
YDL067C	YDL065C	1853
YDL066W	YDL068W	1006
YDL065C	YDL063C	995
YDL064W	YDL066W	1366
YDL063C	YDL061C	494
YDL062W	YDL064W	1787
YDL061C	YDL059C	3439
YDL060W	YDL062W	1337
YDL059C	YDL055C	10721
YDL058W	YDL060W	1680
YDL057W	YDL058W	397
YDL056W	YDL057W	457
YDL055C	YDL054C	3066
YDL054C	YDL053C	414
YDL053C	YDL052C	416
YDL052C	YDL050C	863
YDL051W	YDL056W	8574
YDL050C	YDL049C	251
YDL049C	YDL048C	865
YDL048C	YDL045C	4477
YDL047W	YDL051W	4992
YDL046W	YDL047W	534
YDL045W-A	YDL046W	487
YDL045C	YDL044C	359
YDL044C	YDL043C	391
YDL043C	YDL042C	277
YDL042C	YDL040C	429
YDL041W	YDL045W-A	5567
YDL040C	YDL039C	547
YDL039C	YDL037C	520
YDL037C	YDL036C	1926
YDL036C	YDL035C	271
YDL035C	YDL033C	602
YDL034W	YDL041W	13328
YDL033C	YDL028C	7085
YDL032W	YDL034W	1563
YDL031W	YDL032W	216
YDL030W	YDL031W	333
YDL029W	YDL030W	211
YDL028C	YDL027C	404
YDL027C	YDL025C	387
YDL026W	YDL029W	4111
YDL025C	YDL024C	1245
YDL025W-A	YDL026W	350
YDL024C	YDL023C	1904
YDL022C-A	YDL023C	1705
YDL023C	YDL020C	3032
YDL022W	YDL025W-A	6311
YDL021W	YDL022W	953
YDL020C	YDL019C	955
YDL019C	YDL018C	1319
YDL018C	YDL016C	2060
YDL017W	YDL021W	9321
YDL016C	YDL015C	130
YDL015C	YDL012C	4174
YDL014W	YDL017W	1632
YDL013W	YDL014W	720
YDL012C	YDL011C	791
YDL011C	YDL009C	294
YDL010W	YDL013W	1404
YDL009C	YDL007C-A	3319
YDL008W	YDL010W	472
YDL007C-A	YDL005C	4190
YDL007W	YDL008W	4053
YDL006W	YDL007W	549
YDL005C	YDL002C	4658
YDL004W	YDL006W	2275
YDL003W	YDL004W	1172
YDL002C	YDR001C	2642
YDL001W	YDL003W	1601
YDR001C	YDR005C	4361
YDR002W	YDL001W	3769
YDR003W	YDR002W	472
YDR003W-A	YDR003W	28
YDR004W	YDR003W-A	297
YDR005C	YDR006C	439
YDR006C	YDR008C	1005
YDR007W	YDR004W	5259
YDR008C	YDR010C	2449
YDR009W	YDR007W	918
YDR010C	YDR015C	12577
YDR011W	YDR009W	923
YDR012W	YDR011W	1429
YDR013W	YDR012W	216
YDR014W	YDR013W	263
YDR014W-A	YDR014W	1808
YDR015C	YDR016C	275
YDR016C	YDR017C	357
YDR017C	YDR018C	403
YDR018C	YDR019C	303
YDR019C	YDR020C	381
YDR020C	YDR022C	1628
YDR021W	YDR014W-A	8519
YDR022C	YDR026C	3894
YDR023W	YDR021W	1505
YDR024W	YDR023W	121
YDR025W	YDR024W	13
YDR026C	YDR027C	381
YDR027C	YDR028C	517
YDR028C	YDR030C	874
YDR029W	YDR025W	8776
YDR030C	YDR032C	826
YDR031W	YDR029W	2084
YDR032C	YDR034C	5042
YDR033W	YDR031W	4284
YDR034C	YDR034C-A	8407
YDR034C-A	YDR036C	2519
YDR034W-B	YDR033W	12205
YDR035W	YDR034W-B	347
YDR036C	YDR038C	2709
YDR037W	YDR035W	2512
YDR038C	YDR039C	610
YDR039C	YDR040C	610
YDR040C	YDR042C	2134
YDR041W	YDR037W	12588
YDR042C	YDR043C	1471
YDR043C	YDR045C	4609
YDR044W	YDR041W	6228
YDR045C	YDR046C	452
YDR046C	YDR048C	2508
YDR047W	YDR044W	4232
YDR048C	YDR050C	2328
YDR049W	YDR047W	306
YDR050C	YDR051C	584
YDR051C	YDR052C	451
YDR052C	YDR054C	815
YDR053W	YDR049W	5097
YDR054C	YDR056C	2696
YDR055W	YDR053W	2883
YDR056C	YDR058C	2083
YDR057W	YDR055W	1066
YDR058C	YDR059C	531
YDR059C	YDR066C	12138
YDR060W	YDR057W	3094
YDR061W	YDR060W	438
YDR062W	YDR061W	691
YDR063W	YDR062W	504
YDR064W	YDR063W	346
YDR065W	YDR064W	235
YDR066C	YDR067C	293
YDR067C	YDR069C	1474
YDR068W	YDR065W	1929
YDR069C	YDR070C	379
YDR070C	YDR071C	448
YDR071C	YDR072C	359
YDR072C	YDR078C	10854
YDR073W	YDR068W	7794
YDR074W	YDR073W	945
YDR075W	YDR074W	573
YDR076W	YDR075W	386
YDR077W	YDR076W	1105
YDR078C	YDR079C-A	724
YDR079W	YDR077W	1255
YDR079C-A	YDR081C	3493
YDR080W	YDR079W	609
YDR081C	YDR084C	3324
YDR082W	YDR080W	3455
YDR083W	YDR082W	148
YDR084C	YDR085C	284
YDR085C	YDR086C	778
YDR086C	YDR087C	300
YDR087C	YDR088C	191
YDR088C	YDR090C	5421
YDR089W	YDR083W	8861
YDR090C	YDR091C	710
YDR091C	YDR095C	7583
YDR092W	YDR089W	5155
YDR093W	YDR092W	677
YDR094W	YDR092W	5235
YDR095C	YDR097C	3582
YDR096W	YDR094W	964
YDR097C	YDR098C	341
YDR098C	YDR101C	10756
YDR099W	YDR096W	13784
YDR100W	YDR099W	585
YDR101C	YDR102C	181
YDR102C	YDR104C	3193
YDR103W	YDR100W	2906
YDR104C	YDR105C	439
YDR105C	YDR107C	2246
YDR106W	YDR103W	5901
YDR107C	YDR109C	2486
YDR108W	YDR106W	3411
YDR109C	YDR111C	2574
YDR110W	YDR108W	2737
YDR111C	YDR113C	732
YDR112W	YDR110W	1742
YDR113C	YDR114C	307
YDR114C	YDR116C	498
YDR115W	YDR112W	2323
YDR116C	YDR117C	365
YDR117C	YDR120C	5906
YDR118W	YDR115W	3390
YDR118W-A	YDR115W	5276
YDR119W	YDR118W-A	343
YDR119W-A	YDR119W	481
YDR120C	YDR123C	5293
YDR121W	YDR119W-A	2371
YDR122W	YDR121W	525
YDR123C	YDR125C	1929
YDR124W	YDR122W	2421
YDR125C	YDR129C	10582
YDR126W	YDR124W	1945
YDR127W	YDR126W	240
YDR128W	YDR127W	299
YDR129C	YDR130C	368
YDR130C	YDR131C	168
YDR131C	YDR132C	356
YDR132C	YDR133C	659
YDR133C	YDR135C	1707
YDR135C	YDR136C	160
YDR136C	YDR139C	5335
YDR137W	YDR128W	15264
YDR138W	YDR137W	328
YDR139C	YDR141C	977
YDR140W	YDR138W	1302
YDR141C	YDR142C	476
YDR142C	YDR143C	442
YDR143C	YDR144C	437
YDR144C	YDR146C	2512
YDR145W	YDR140W	11935
YDR146C	YDR148C	2933
YDR147W	YDR145W	3274
YDR148C	YDR149C	489
YDR149C	YDR151C	7916
YDR150W	YDR147W	2393
YDR151C	YDR153C	1581
YDR152W	YDR150W	1832
YDR153C	YDR154C	432
YDR154C	YDR162C	11637
YDR155C	YDR162C	11390
YDR156W	YDR152W	3022
YDR157W	YDR152W	3428
YDR158W	YDR157W	25
YDR159W	YDR158W	423
YDR160W	YDR159W	381
YDR161W	YDR160W	322
YDR162C	YDR164C	941
YDR163W	YDR161W	1217
YDR164C	YDR166C	2091
YDR165W	YDR163W	2921
YDR166C	YDR169C	3127
YDR167W	YDR165W	3244
YDR168W	YDR167W	259
YDR169C	YDR169C-A	685
YDR169C-A	YDR170C	1470
YDR170C	YDR173C	8343
YDR171W	YDR168W	14773
YDR172W	YDR171W	576
YDR173C	YDR175C	1561
YDR174W	YDR172W	1729
YDR175C	YDR179C	4556
YDR176W	YDR174W	1602
YDR177W	YDR176W	318
YDR178W	YDR177W	425
YDR179C	YDR181C	6714
YDR179W-A	YDR178W	938
YDR180W	YDR179W-A	471
YDR181C	YDR183C-A	3042
YDR182W	YDR180W	1806
YDR182W-A	YDR182W	94
YDR183W	YDR182W-A	231
YDR183C-A	YDR185C	1280
YDR184C	YDR185C	421
YDR185C	YDR186C	386
YDR186C	YDR187C	736
YDR187C	YDR190C	3858
YDR188W	YDR183W	6144
YDR189W	YDR188W	331
YDR190C	YDR192C	1574
YDR191W	YDR189W	1945
YDR192C	YDR194C	1091
YDR193W	YDR191W	1105
YDR194C	YDR196C	2328
YDR194W-A	YDR193W	3119
YDR195W	YDR194W-A	376
YDR196C	YDR198C	1534
YDR197W	YDR195W	1028
YDR198C	YDR200C	307
YDR199W	YDR197W	1778
YDR200C	YDR202C	805
YDR201W	YDR199W	1777
YDR202C	YDR207C	7059
YDR203W	YDR201W	868
YDR204W	YDR203W	138
YDR205W	YDR204W	202
YDR206W	YDR205W	534
YDR207C	YDR209C	3514
YDR208W	YDR206W	3516
YDR209C	YDR215C	22640
YDR210W	YDR208W	511
YDR211W	YDR210W	13426
YDR212W	YDR211W	367
YDR213W	YDR212W	840
YDR214W	YDR213W	383
YDR215C	YDR217C	5049
YDR216W	YDR214W	1108
YDR217C	YDR218C	301
YDR218C	YDR219C	403
YDR219C	YDR220C	148
YDR220C	YDR224C	7024
YDR221W	YDR216W	8324
YDR222W	YDR221W	616
YDR223W	YDR222W	798
YDR224C	YDR228C	7214
YDR225W	YDR223W	2028
YDR226W	YDR225W	558
YDR227W	YDR226W	417
YDR228C	YDR231C	2487
YDR229W	YDR227W	3138
YDR230W	YDR229W	77
YDR231C	YDR233C	2560
YDR232W	YDR230W	882
YDR233C	YDR236C	4879
YDR234W	YDR232W	2031
YDR235W	YDR234W	294
YDR236C	YDR238C	2003
YDR237W	YDR235W	1477
YDR238C	YDR239C	241
YDR239C	YDR240C	254
YDR240C	YDR243C	3366
YDR241W	YDR237W	7658
YDR242W	YDR241W	1369
YDR243C	YDR248C	7474
YDR244W	YDR242W	2107
YDR245W	YDR244W	399
YDR246W	YDR245W	307
YDR246W-A	YDR246W	186
YDR247W	YDR246W-A	680
YDR248C	YDR249C	342
YDR249C	YDR250C	284
YDR250C	YDR253C	3629
YDR251W	YDR247W	3216
YDR252W	YDR251W	306
YDR253C	YDR255C	1992
YDR254W	YDR252W	1252
YDR255C	YDR256C	311
YDR256C	YDR257C	310
YDR257C	YDR258C	334
YDR258C	YDR259C	388
YDR259C	YDR260C	935
YDR260C	YDR261C	292
YDR261C	YDR263C	15033
YDR262W	YDR254W	26645
YDR263C	YDR264C	495
YDR264C	YDR266C	1781
YDR265W	YDR262W	4912
YDR266C	YDR267C	487
YDR267C	YDR269C	2163
YDR268W	YDR265W	4127
YDR269C	YDR271C	2407
YDR270W	YDR268W	532
YDR271C	YDR274C	2823
YDR272W	YDR270W	321
YDR273W	YDR272W	342
YDR274C	YDR276C	1516
YDR275W	YDR273W	979
YDR276C	YDR277C	758
YDR277C	YDR278C	1299
YDR278C	YDR281C	4689
YDR279W	YDR275W	6409
YDR280W	YDR279W	327
YDR281C	YDR282C	1190
YDR282C	YDR283C	315
YDR283C	YDR284C	501
YDR284C	YDR286C	3812
YDR285W	YDR280W	10772
YDR286C	YDR289C	2705
YDR287W	YDR285W	932
YDR288W	YDR287W	322
YDR289C	YDR292C	3637
YDR290W	YDR288W	1264
YDR291W	YDR290W	29
YDR292C	YDR293C	629
YDR293C	YDR294C	1067
YDR294C	YDR295C	395
YDR295C	YDR298C	3529
YDR296W	YDR291W	12251
YDR297W	YDR296W	659
YDR298C	YDR300C	2691
YDR299W	YDR297W	2027
YDR300C	YDR303C	5938
YDR301W	YDR299W	2121
YDR302W	YDR301W	306
YDR303C	YDR304C	494
YDR304C	YDR305C	189
YDR305C	YDR306C	247
YDR306C	YDR308C	2856
YDR307W	YDR302W	7475
YDR308C	YDR309C	599
YDR309C	YDR310C	929
YDR310C	YDR313C	4903
YDR311W	YDR307W	7212
YDR312W	YDR311W	588
YDR313C	YDR314C	354
YDR314C	YDR315C	230
YDR315C	YDR319C	11417
YDR316W	YDR312W	4821
YDR317W	YDR316W	7006
YDR318W	YDR317W	330
YDR319C	YDR320C	268
YDR320C	YDR320C-A	179
YDR320C-A	YDR322C-A	3505
YDR320W-B	YDR318W	3537
YDR321W	YDR320W-B	81
YDR322W	YDR321W	742
YDR322C-A	YDR323C	187
YDR323C	YDR324C	406
YDR324C	YDR326C	3846
YDR325W	YDR322W	5434
YDR326C	YDR328C	509
YDR327W	YDR325W	5069
YDR328C	YDR329C	252
YDR329C	YDR333C	5665
YDR330W	YDR327W	2244
YDR331W	YDR330W	214
YDR332W	YDR331W	178
YDR333C	YDR338C	11948
YDR334W	YDR332W	2862
YDR335W	YDR334W	692
YDR336W	YDR335W	250
YDR337W	YDR336W	283
YDR338C	YDR339C	485
YDR339C	YDR341C	1283
YDR340W	YDR337W	3702
YDR341C	YDR342C	590
YDR342C	YDR343C	3680
YDR343C	YDR344C	686
YDR344C	YDR345C	508
YDR345C	YDR346C	2554
YDR346C	YDR348C	1667
YDR347W	YDR340W	17995
YDR348C	YDR349C	561
YDR349C	YDR350C	1944
YDR350C	YDR354C-A	6965
YDR351W	YDR347W	8523
YDR352W	YDR351W	541
YDR353W	YDR352W	545
YDR354W	YDR353W	489
YDR354C-A	YDR355C	785
YDR355C	YDR357C	2830
YDR356W	YDR354W	218
YDR357C	YDR359C	2369
YDR358W	YDR356W	1118
YDR359C	YDR361C	528
YDR360W	YDR358W	2866
YDR361C	YDR362C	416
YDR362C	YDR364C	4146
YDR363W	YDR360W	4151
YDR363W-A	YDR363W	1575
YDR364C	YDR365C	287
YDR365C	YDR366C	6055
YDR366C	YDR369C	2180
YDR367W	YDR363W-A	10451
YDR368W	YDR367W	290
YDR369C	YDR370C	202
YDR370C	YDR371C-A	399
YDR371W	YDR368W	4571
YDR371C-A	YDR372C	1499
YDR372C	YDR374C	1325
YDR373W	YDR371W	1811
YDR374C	YDR375C	772
YDR374W-A	YDR373W	1426
YDR375C	YDR378C	2813
YDR376W	YDR374W-A	1796
YDR377W	YDR376W	308
YDR378C	YDR379C-A	3669
YDR379W	YDR377W	1251
YDR379C-A	YDR381C-A	4795
YDR380W	YDR379W	1022
YDR381W	YDR380W	433
YDR381C-A	YDR383C	1110
YDR382W	YDR381W	1488
YDR383C	YDR384C	528
YDR384C	YDR387C	6123
YDR385W	YDR382W	3406
YDR386W	YDR385W	326
YDR387C	YDR390C	5116
YDR388W	YDR386W	2204
YDR389W	YDR388W	903
YDR390C	YDR391C	511
YDR391C	YDR397C	8310
YDR392W	YDR389W	4195
YDR393W	YDR392W	192
YDR394W	YDR393W	410
YDR395W	YDR394W	357
YDR396W	YDR395W	137
YDR397C	YDR402C	5336
YDR398W	YDR396W	676
YDR399W	YDR398W	666
YDR400W	YDR399W	330
YDR401W	YDR400W	138
YDR402C	YDR404C	2951
YDR403W	YDR401W	1816
YDR404C	YDR407C	6900
YDR405W	YDR403W	1434
YDR406W	YDR405W	773
YDR406W-A	YDR405W	5362
YDR407C	YDR408C	277
YDR408C	YDR410C	3513
YDR409W	YDR406W-A	5362
YDR410C	YDR411C	278
YDR411C	YDR413C	442
YDR412W	YDR409W	2573
YDR413C	YDR414C	187
YDR414C	YDR415C	351
YDR415C	YDR417C	3394
YDR416W	YDR412W	3032
YDR417C	YDR422C	13400
YDR418W	YDR416W	605
YDR419W	YDR418W	1061
YDR420W	YDR419W	1195
YDR421W	YDR420W	365
YDR422C	YDR423C	273
YDR423C	YDR424C	112
YDR424C	YDR426C	1788
YDR425W	YDR421W	5172
YDR426C	YDR428C	1448
YDR427W	YDR425W	264
YDR428C	YDR429C	238
YDR429C	YDR430C	200
YDR430C	YDR435C	4513
YDR431W	YDR427W	5004
YDR432W	YDR431W	82
YDR433W	YDR431W	899
YDR434W	YDR433W	1197
YDR435C	YDR441C	10548
YDR436W	YDR434W	1980
YDR437W	YDR436W	399
YDR438W	YDR437W	500
YDR439W	YDR438W	290
YDR440W	YDR439W	1774
YDR441C	YDR443C	614
YDR442W	YDR440W	1406
YDR443C	YDR445C	2244
YDR444W	YDR442W	4251
YDR445C	YDR447C	2240
YDR446W	YDR444W	1372
YDR447C	YDR449C	2027
YDR448W	YDR446W	1432
YDR449C	YDR451C	2218
YDR450W	YDR448W	2554
YDR451C	YDR453C	2891
YDR452W	YDR450W	2080
YDR453C	YDR454C	602
YDR454C	YDR455C	546
YDR455C	YDR458C	12374
YDR456W	YDR452W	2583
YDR457W	YDR456W	404
YDR458C	YDR459C	273
YDR459C	YDR461C-A	2081
YDR460W	YDR457W	4215
YDR461W	YDR460W	400
YDR461C-A	YDR464C-A	6726
YDR462W	YDR461W	787
YDR463W	YDR462W	300
YDR464W	YDR463W	497
YDR464C-A	YDR465C	656
YDR465C	YDR467C	3009
YDR466W	YDR464W	1942
YDR467C	YDR468C	117
YDR468C	YDR470C	1006
YDR469W	YDR466W	1198
YDR470C	YDR473C	3231
YDR471W	YDR469W	2228
YDR472W	YDR471W	758
YDR473C	YDR475C	1610
YDR475C	YDR476C	359
YDR476C	YDR479C	4083
YDR477W	YDR472W	8200
YDR478W	YDR477W	301
YDR479C	YDR481C	1676
YDR480W	YDR478W	2228
YDR481C	YDR482C	181
YDR482C	YDR485C	3982
YDR483W	YDR480W	2787
YDR484W	YDR483W	278
YDR485C	YDR486C	224
YDR486C	YDR487C	234
YDR487C	YDR488C	208
YDR488C	YDR490C	1179
YDR489W	YDR484W	6324
YDR490C	YDR491C	232
YDR491C	YDR495C	3124
YDR492W	YDR489W	3028
YDR493W	YDR492W	343
YDR494W	YDR493W	342
YDR495C	YDR496C	283
YDR496C	YDR497C	310
YDR497C	YDR498C	376
YDR498C	YDR500C	3204
YDR499W	YDR494W	9815
YDR500C	YDR502C	2457
YDR501W	YDR499W	1280
YDR502C	YDR503C	578
YDR503C	YDR504C	445
YDR504C	YDR505C	1
YDR505C	YDR506C	508
YDR506C	YDR507C	804
YDR507C	YDR508C	667
YDR508C	YDR510C-A	1251
YDR509W	YDR501W	15308
YDR510W	YDR509W	827
YDR510C-A	YDR512C	689
YDR511W	YDR510W	312
YDR512C	YDR514C	485
YDR513W	YDR511W	599
YDR514C	YDR516C	1975
YDR515W	YDR513W	1981
YDR516C	YDR520C	4609
YDR517W	YDR515W	2467
YDR518W	YDR517W	251
YDR519W	YDR518W	264
YDR520C	YDR522C	392
YDR521W	YDR519W	2309
YDR522C	YDR523C	263
YDR523C	YDR524C	504
YDR524C	YDR524C-B	608
YDR524W-C	YDR521W	5927
YDR524C-B	YDR524C-A	73
YDR524C-A	YDR526C	1085
YDR525W	YDR524W-C	413
YDR525W-A	YDR525W	362
YDR526C	YDR529C	4620
YDR527W	YDR525W-A	259
YDR528W	YDR527W	2173
YDR529C	YDR530C	243
YDR530C	YDR532C	1628
YDR531W	YDR528W	2375
YDR532C	YDR533C	894
YDR533C	YDR534C	1154
YDR534C	YDR535C	1706
YDR535C	YDR537C	3494
YDR536W	YDR531W	8670
YDR537C	YDR540C	5675
YDR538W	YDR536W	1188
YDR539W	YDR538W	464
YDR540C	YDR541C	1989
YDR541C	YDR543C	3936
YDR542W	YDR539W	9644
YDR543C	YDR544C	162
YDR544C	YDR545C-A	5340
YDR545W	YDR542W	2710
YIL177C	YIL176C	2646
YIL176C	YIL172C	7629
YIL173W	YIL177W-A	10164
YIL172C	YIL169C	4566
YIL171W-A	YIL173W	2119
YIL169C	YIL166C	4832
YIL166C	YIL165C	1152
YIL165C	YIL164C	10
YIL164C	YIL163C	2213
YIL163C	YIL160C	2939
YIL162W	YIL171W-A	18673
YIL161W	YIL162W	450
YIL160C	YIL157C	5505
YIL159W	YIL161W	1685
YIL158W	YIL159W	249
YIL157C	YIL155C	4217
YIL156W-A	YIL158W	477
YIL156W-B	YIL158W	875
YIL156W	YIL156W-B	118
YIL155C	YIL154C	273
YIL154C	YIL151C	2317
YIL153W	YIL156W	3892
YIL152W	YIL153W	166
YIL151C	YIL150C	319
YIL150C	YIL149C	300
YIL149C	YIL147C	1724
YIL148W	YIL152W	11456
YIL147C	YIL146C	731
YIL146C	YIL145C	581
YIL145C	YIL143C	3227
YIL144W	YIL148W	8546
YIL143C	YIL142C-A	167
YIL142C-A	YIL139C	4439
YIL142W	YIL144W	3153
YIL141W	YIL142W	168
YIL140W	YIL142W	481
YIL139C	YIL138C	514
YIL138C	YIL137C	233
YIL137C	YIL135C	2277
YIL136W	YIL140W	5782
YIL135C	YIL134C-A	147
YIL134C-A	YIL133C	1802
YIL134W	YIL136W	2595
YIL133C	YIL132C	444
YIL132C	YIL131C	280
YIL131C	YIL129C	3872
YIL130W	YIL134W	4452
YIL129C	YIL127C	3787
YIL128W	YIL130W	8130
YIL127C	YIL119C	19010
YIL126W	YIL128W	1088
YIL125W	YIL126W	618
YIL124W	YIL125W	471
YIL123W	YIL124W	1054
YIL122W	YIL123W	1029
YIL121W	YIL122W	579
YIL120W	YIL121W	545
YIL119C	YIL117C	2736
YIL118W	YIL120W	3644
YIL117C	YIL115C	2758
YIL116W	YIL118W	2481
YIL115W-A	YIL116W	183
YIL115C	YIL114C	434
YIL114C	YIL109C	7397
YIL113W	YIL115W-A	5920
YIL112W	YIL113W	407
YIL111W	YIL112W	465
YIL110W	YIL111W	280
YIL109C	YIL107C	3113
YIL108W	YIL110W	3709
YIL107C	YIL105C	1820
YIL106W	YIL108W	3438
YIL105C	YIL104C	341
YIL105W-A	YIL106W	220
YIL104C	YIL102C-A	1860
YIL103W	YIL105W-A	3947
YIL102C-A	YIL102C	990
YIL102C	YIL101C	420
YIL101C	YIL100C-A	93
YIL100C-A	YIL098C	2091
YIL100W	YIL103W	4345
YIL099W	YIL100W	278
YIL098C	YIL096C	1878
YIL097W	YIL099W	774
YIL096C	YIL094C	3390
YIL095W	YIL097W	1960
YIL094C	YIL093C	358
YIL093C	YIL091C	2246
YIL092W	YIL095W	2697
YIL091C	YIL088C	4736
YIL090W	YIL092W	2628
YIL089W	YIL090W	529
YIL088C	YIL087C	243
YIL087C	YIL086C	34
YIL086C	YIL085C	29
YIL085C	YIL084C	233
YIL084C	YIL083C	297
YIL083C	YIL079C	6270
YIL082W	YIL089W	9419
YIL079C	YIL077C	2986
YIL078W	YIL082W	5992
YIL077C	YIL075C	1910
YIL076W	YIL078W	1955
YIL075C	YIL074C	381
YIL074C	YIL073C	447
YIL073C	YIL071C	2706
YIL072W	YIL076W	9054
YIL071W-A	YIL072W	131
YIL071C	YIL070C	278
YIL070C	YIL069C	481
YIL069C	YIL068C	688
YIL068W-A	YIL071W-A	3987
YIL068C	YIL067C	250
YIL067C	YIL066C	339
YIL066W-A	YIL068W-A	3970
YIL066C	YIL065C	600
YIL065C	YIL063C	986
YIL064W	YIL066W-A	4134
YIL063C	YIL062C	254
YIL062C	YIL061C	195
YIL061C	YIL059C	991
YIL060W	YIL064W	3676
YIL059C	YIL057C	987
YIL058W	YIL060W	88
YIL057C	YIL055C	3646
YIL056W	YIL058W	2793
YIL055C	YIL052C	2301
YIL054W	YIL056W	2630
YIL053W	YIL054W	255
YIL052C	YIL051C	780
YIL051C	YIL047C-A	6819
YIL050W	YIL053W	3046
YIL049W	YIL050W	388
YIL048W	YIL049W	518
YIL047C-A	YIL044C	7483
YIL047C	YIL044C	5127
YIL046W-A	YIL048W	3417
YIL046W	YIL046W-A	178
YIL045W	YIL046W	588
YIL044C	YIL043C	226
YIL043C	YIL042C	182
YIL042C	YIL038C	3850
YIL041W	YIL045W	3748
YIL040W	YIL041W	218
YIL039W	YIL040W	287
YIL038C	YIL037C	377
YIL037C	YIL035C	2791
YIL036W	YIL039W	5819
YIL035C	YIL034C	318
YIL034C	YIL033C	330
YIL033C	YIL032C	292
YIL032C	YIL030C	3733
YIL031W	YIL036W	5204
YIL030W-A	YIL036W	8136
YIL030C	YIL029C	820
YIL029W-A	YIL030W-A	3832
YIL029C	YIL027C	2422
YIL028W	YIL029W-A	1994
YIL027C	YIL026C	373
YIL026C	YIL025C	272
YIL025C	YIL024C	27
YIL024C	YIL023C	215
YIL023C	YIL021C-A	2773
YIL022W	YIL028W	8667
YIL021W	YIL022W	445
YIL021C-A	YIL020C-A	245
YIL020C-A	YIL017C	4149
YIL020C	YIL017C	3380
YIL019W	YIL021W	1232
YIL018W	YIL019W	635
YIL017C	YIL014C-A	4247
YIL016W	YIL018W	3522
YIL015W	YIL016W	409
YIL014C-A	YIL013C	2681
YIL014W	YIL015W	1998
YIL013C	YIL009C-A	3224
YIL012W	YIL014W	5016
YIL011W	YIL012W	375
YIL010W	YIL011W	346
YIL009C-A	YIL007C	6782
YIL009W	YIL010W	3815
YIL008W	YIL009W	1108
YIL007C	YIL004C	4290
YIL006W	YIL008W	1227
YIL005W	YIL006W	509
YIL004C	YIL002C	2086
YIL003W	YIL005W	1325
YIL002W-A	YIL003W	298
YIL002C	YIR001C	2712
YIL001W	YIL002W-A	3430
YIR001C	YIR002C	520
YIR002C	YIR006C	5070
YIR003W	YIL001W	5404
YIR004W	YIR003W	297
YIR005W	YIR004W	370
YIR006C	YIR008C	3169
YIR007W	YIR005W	5369
YIR008C	YIR011C	2981
YIR009W	YIR007W	1527
YIR010W	YIR009W	571
YIR011C	YIR013C	1773
YIR012W	YIR010W	1325
YIR013C	YIR017C	3172
YIR014W	YIR012W	1305
YIR015W	YIR014W	134
YIR016W	YIR015W	246
YIR017C	YIR018C-A	1445
YIR017W-A	YIR016W	141
YIR018W	YIR017W-A	444
YIR018C-A	YIR019C	3871
YIR019C	YIR020C	580
YIR020C	YIR020C-B	2658
YIR020W-A	YIR018W	9571
YIR020C-B	YIR023C-A	4434
YIR021W	YIR020W-A	2135
YIR021W-A	YIR021W	129
YIR022W	YIR021W-A	7
YIR023W	YIR022W	541
YIR023C-A	YIR024C	135
YIR024C	YIR026C	1382
YIR025W	YIR023W	970
YIR026C	YIR027C	293
YIR027C	YIR030C	4394
YIR028W	YIR025W	3703
YIR029W	YIR028W	432
YIR030C	YIR031C	245
YIR030W-A	YIR029W	1061
YIR031C	YIR032C	351
YIR032C	YIR034C	3998
YIR033W	YIR030W-A	2842
YIR034C	YIR035C	290
YIR035C	YIR036C	284
YIR036C	YIR038C	944
YIR036W-A	YIR033W	3170
YIR037W	YIR036W-A	92
YIR038C	YIR039C	5985
YIR039C	YIR040C	1278
YIR040C	YIR042C	1552
YIR041W	YIR037W	10310
Q0032	Q0017	7252
Q0050	Q0032	1861
Q0055	Q0032	1861
Q0060	Q0032	1861
Q0065	Q0032	1861
Q0070	Q0032	1861
Q0045	Q0032	1861
Q0075	Q0070	989
Q0080	Q0045	965
Q0085	Q0080	675
Q0092	Q0085	1608
Q0110	Q0092	5526
Q0115	Q0092	5526
Q0120	Q0092	5526
Q0105	Q0092	5526
Q0130	Q0105	3076
Q0140	Q0130	1948
Q0142	Q0140	955
Q0143	Q0142	49
Q0144	Q0143	2680
Q0160	Q0144	6584
Q0182	Q0160	4041
Q0250	Q0182	7584
Q0255	Q0182	8321
Q0275	Q0255	3229
Q0297	Q0275	5532
YEL077C	YEL076C-A	88
YEL076C-A	YEL075C	231
YEL076C	YEL075C	231
YEL075W-A	YEL077W-A	3758
YEL075C	YEL073C	1517
YEL074W	YEL075W-A	645
YEL073C	YEL069C	13984
YEL072W	YEL074W	7256
YEL071W	YEL072W	1940
YEL070W	YEL071W	1744
YEL069C	YEL068C	2415
YEL068C	YEL067C	211
YEL067C	YEL064C	3021
YEL066W	YEL070W	5570
YEL065W	YEL066W	451
YEL064C	YEL063C	455
YEL063C	YEL061C	3069
YEL062W	YEL065W	4864
YEL061C	YEL060C	509
YEL060C	YEL059C-A	447
YEL059C-A	YEL057C	2396
YEL059W	YEL062W	6398
YEL058W	YEL059W	292
YEL057C	YEL055C	2750
YEL056W	YEL058W	2243
YEL055C	YEL054C	1182
YEL054C	YEL053C	683
YEL053W-A	YEL056W	4535
YEL053C	YEL050C	3568
