ORF	gene_systematic_id_with_prefix	gene_name	chromosome_id	gene_product	uniprot_id	gene_type	synonyms	length.CDS	length.UTR5	length.UTR3	length.UTR5.Est	length.UTR3.Est	LengthTxEst
SPAC823.15	PomBase:SPAC823.15	ppa1	chromosome_1	serine/threonine protein phosphatase PP2A catalytic subunit Ppa1	P23635	protein coding gene	NA	930	177	328	177	328	1435
SPAC823.16c	PomBase:SPAC823.16c	atg1802	chromosome_1	autophagy associated WD repeat protein Atg18b	Q9P6N1	protein coding gene	mug179,atg18b,atg18	1008	230	288	230	288	1526
SPAC823.17	PomBase:SPAC823.17	tom6	chromosome_1	mitochondrial TOM complex subunit Tom6	NA	protein coding gene	SPAC823.02	147	16	186	16	186	349
SPAC824.02	PomBase:SPAC824.02	bst1	chromosome_1	GPI inositol deacylase Bst1	Q9UT41	protein coding gene	NA	3429	595	247	595	247	4271
SPAC824.03c	PomBase:SPAC824.03c	NA	chromosome_1	mitochondrial endonuclease family, related to holliday junction resolvases, implicated in DNA or tRNA metabolism	Q9UT40	protein coding gene	NA	744	493	151	493	151	1388
SPAC824.04	PomBase:SPAC824.04	swd22	chromosome_1	mRNA cleavage and polyadenylation specificity factor complex, WD repeat protein Swd22	Q9UT39	protein coding gene	swd2.2	1026	96	328	96	328	1450
SPAC824.05	PomBase:SPAC824.05	vps16	chromosome_1	HOPS/CORVET complex subunit Vps16	Q9UT38	protein coding gene	NA	2508	74	243	74	243	2825
SPAC824.06	PomBase:SPAC824.06	tim14	chromosome_1	TIM23 translocase complex subunit Tim14	Q9UT37	protein coding gene	NA	423	86	860	86	860	1369
SPAC824.07	PomBase:SPAC824.07	glo2	chromosome_1	glyoxalase II	Q9UT36	protein coding gene	NA	771	95	243	95	243	1109
SPAC824.08	PomBase:SPAC824.08	gda1	chromosome_1	Golgi nucleoside-diphosphatase Gda1	Q9UT35	protein coding gene	gdp1	1671	167	454	167	454	2292
SPAC824.09c	PomBase:SPAC824.09c	NA	chromosome_1	GTPase activating protein	Q9UT34	protein coding gene	NA	963	22	184	22	184	1169
SPAC869.01	PomBase:SPAC869.01	NA	chromosome_1	hydrolase activity, implicated in cellular detoxification	Q9URY4	protein coding gene	NA	1752	NA	82	97	82	1931
SPAC869.02c	PomBase:SPAC869.02c	yhb1	chromosome_1	nitric oxide dioxygenase Yhb1	Q9URY5	protein coding gene	NA	1284	8	708	8	708	2000
SPAC869.03c	PomBase:SPAC869.03c	NA	chromosome_1	plasma membrane urea transmembrane transporter	Q9URY6	protein coding gene	NA	1986	NA	123	97	123	2206
SPAC869.04	PomBase:SPAC869.04	NA	chromosome_1	formamidase-like protein, implicated in cellular detoxification	Q9URY7	protein coding gene	NA	1233	16	NA	16	261	1510
SPAC869.05c	PomBase:SPAC869.05c	sul2	chromosome_1	plasma membrane sulfate transmembrane transporter Sul2	Q9URY8	protein coding gene	NA	2523	301	360	301	360	3184
SPAC869.06c	PomBase:SPAC869.06c	hry1	chromosome_1	HHE domain cation binding protein	Q9URY9	protein coding gene	NA	612	NA	105	97	105	814
SPAC869.07c	PomBase:SPAC869.07c	mel1	chromosome_1	alpha-galactosidase, melibiase	Q9URZ0	protein coding gene	NA	1311	NA	144	97	144	1552
SPAC869.08	PomBase:SPAC869.08	pcm2	chromosome_1	protein-L-isoaspartate O-methyltransferase Pcm2	Q9URZ1	protein coding gene	NA	693	NA	355	97	355	1145
SPAC869.09	PomBase:SPAC869.09	NA	chromosome_1	Con-6 family conserved fungal protein	Q9URZ2	protein coding gene	NA	351	NA	197	97	197	645
SPAC869.10c	PomBase:SPAC869.10c	put4	chromosome_1	plasma membrane proline transmembrane transporter Put4	Q9URZ3	protein coding gene	NA	1659	58	276	58	276	1993
SPAC869.11	PomBase:SPAC869.11	cat1	chromosome_1	plasma membrane arginine/lysine amino acid transmembrane transporter Cat1	Q9URZ4	protein coding gene	SPAC922.08c	1764	328	251	328	251	2343
SPAC890.02c	PomBase:SPAC890.02c	alp7	chromosome_1	TACC protein Alp7	Q9URY2	protein coding gene	mia1	1425	290	371	290	371	2086
SPAC890.03	PomBase:SPAC890.03	ppk16	chromosome_1	serine/threonine protein kinase Ppk16	Q9URY1	protein coding gene	mug92	2019	48	116	48	116	2183
SPAC890.04c	PomBase:SPAC890.04c	ytm1	chromosome_1	ribosome biogenesis WD repeat WDR12/Ytm1 protein	Q9URY0	protein coding gene	NA	1323	21	157	21	157	1501
SPAC890.05	PomBase:SPAC890.05	pxr1	chromosome_1	ribosome biogenesis protein, G-patch domain, PINX1 family Pxr1	Q9URX9	protein coding gene	NA	855	461	145	461	145	1461
SPAC890.06	PomBase:SPAC890.06	nup155	chromosome_1	nucleoporin, WD repeat Nup155	Q9URX8	protein coding gene	nup157,nup170	3948	44	280	44	280	4272
SPAC890.07c	PomBase:SPAC890.07c	rmt1	chromosome_1	type I protein arginine N-methyltransferase Rmt1	Q9URX7	protein coding gene	prmt1	1023	90	61	90	61	1174
SPAC890.08	PomBase:SPAC890.08	rpl31	chromosome_1	60S ribosomal protein L31	Q9URX6	protein coding gene	NA	342	19	87	19	87	448
SPAC8C9.03	PomBase:SPAC8C9.03	cgs1	chromosome_1	cAMP-dependent protein kinase regulatory subunit Cgs1	P36600	protein coding gene	rak1	1239	210	894	210	894	2343
SPAC8C9.04	PomBase:SPAC8C9.04	NA	chromosome_1	Schizosaccharomyces specific disordered protein	O14273	protein coding gene	NA	1944	55	566	55	566	2565
SPAC8C9.05	PomBase:SPAC8C9.05	dtd1	chromosome_1	D-Tyr-tRNA deacylase Dtd1	O14274	protein coding gene	NA	450	166	164	166	164	780
SPAC8C9.06c	PomBase:SPAC8C9.06c	ppr4	chromosome_1	mitochondrial Cox1 translation regulator Ppr4	O14275	protein coding gene	NA	2796	571	1173	571	1173	4540
SPAC8C9.07	PomBase:SPAC8C9.07	fyv7	chromosome_1	rRNA processing protein Fyv7	O14276	protein coding gene	NA	435	110	161	110	161	706
SPAC8C9.08	PomBase:SPAC8C9.08	rps5	chromosome_1	40S ribosomal protein S5	O14277	protein coding gene	NA	612	21	242	21	242	875
SPAC8C9.09c	PomBase:SPAC8C9.09c	mug129	chromosome_1	Schizosaccharomyces specific protein Mug129	O14278	protein coding gene	NA	909	318	252	318	252	1479
SPAC8C9.10c	PomBase:SPAC8C9.10c	rrp14	chromosome_1	ribosome biogenesis protein Rrp14	O14279	protein coding gene	NA	465	43	656	43	656	1164
SPAC8C9.11	PomBase:SPAC8C9.11	fra2	chromosome_1	iron-sensor Fra2	O14280	protein coding gene	NA	255	43	253	43	253	551
SPAC8C9.12c	PomBase:SPAC8C9.12c	mrs3	chromosome_1	mitochondrial carrier, iron ion Mrs3	O14281	protein coding gene	NA	912	902	426	902	426	2240
SPAC8C9.14	PomBase:SPAC8C9.14	prr1	chromosome_1	stress-responsive DNA-binding transcription factor Prr1	O14283	protein coding gene	NA	1620	75	412	75	412	2107
SPAC8C9.15c	PomBase:SPAC8C9.15c	tif225	chromosome_1	translation initiation factor eIF2B epsilon subunit	P56287	protein coding gene	NA	2037	9	175	9	175	2221
SPAC8C9.16c	PomBase:SPAC8C9.16c	oxr1	chromosome_1	V-type ATPase inhibitor and disassembly protein in response to oxidative stress Oxr1	O14284	protein coding gene	mug63	567	270	607	270	607	1444
SPAC8C9.17c	PomBase:SPAC8C9.17c	spc34	chromosome_1	DASH complex subunit Spc34	O14285	protein coding gene	NA	495	100	601	100	601	1196
SPAC8C9.19	PomBase:SPAC8C9.19	emr1	chromosome_1	Ermes regulator Emr1	Q4ZGE1	protein coding gene	NA	186	NA	NA	97	261	544
SPAC8E11.01c	PomBase:SPAC8E11.01c	suc2	chromosome_1	sucrose alpha-glucosidase Suc2	O42878	protein coding gene	SPAC959.01	1527	108	646	108	646	2281
SPAC8E11.02c	PomBase:SPAC8E11.02c	rad24	chromosome_1	14-3-3 protein Rad24	P42656	protein coding gene	sam4,anr5	813	41	198	41	198	1052
SPAC8E11.03c	PomBase:SPAC8E11.03c	dmc1	chromosome_1	RecA family ATPase Dmc1	O42634	protein coding gene	dmp1	999	68	NA	68	261	1328
SPAC8E11.04c	PomBase:SPAC8E11.04c	NA	chromosome_1	palmitoyl-(protein) hydrolase	O42881	protein coding gene	NA	675	215	137	215	137	1027
SPAC8E11.05c	PomBase:SPAC8E11.05c	NA	chromosome_1	DUF5102 family conserved fungal protein, associated with clathrin coated vesicles	O42882	protein coding gene	NA	1017	50	1302	50	1302	2369
SPAC8E11.06	PomBase:SPAC8E11.06	NA	chromosome_1	Schizosaccharomyces pombe specific protein	O42883	protein coding gene	NA	102	NA	NA	97	261	460
SPAC8E11.07c	PomBase:SPAC8E11.07c	alp31	chromosome_1	tubulin specific chaperone cofactor A, Alp31	Q9Y703	protein coding gene	NA	360	42	359	42	359	761
SPAC8E11.08c	PomBase:SPAC8E11.08c	NA	chromosome_1	dubious	A6X974	protein coding gene	NA	303	NA	1005	97	1005	1405
SPAC8E11.10	PomBase:SPAC8E11.10	NA	chromosome_1	sorbose reductase	Q9Y6Z9	protein coding gene	NA	768	204	468	204	468	1440
SPAC8E11.12	PomBase:SPAC8E11.12	NA	chromosome_1	Schizosaccharomyces pombe specific protein	G2TRM4	protein coding gene	NA	309	NA	NA	97	261	667
SPAC8F11.02c	PomBase:SPAC8F11.02c	dph3	chromosome_1	diphthamide biosynthesis protein Dph3	Q9UT33	protein coding gene	NA	240	32	839	32	839	1111
SPAC8F11.03	PomBase:SPAC8F11.03	msh3	chromosome_1	MutS protein homolog 3	P26359	protein coding gene	swi4	3015	178	190	178	190	3383
SPAC8F11.04	PomBase:SPAC8F11.04	NA	chromosome_1	U3 snoRNP-associated protein Cic1/Utp30 family	Q9UT32	protein coding gene	NA	1122	42	1190	42	1190	2354
SPAC8F11.05c	PomBase:SPAC8F11.05c	mug130	chromosome_1	Schizosaccharomyces specific protein Mug130	Q9UT31	protein coding gene	NA	726	26	103	26	103	855
SPAC8F11.06	PomBase:SPAC8F11.06	brr6	chromosome_1	nuclear envelope protein Brr6/Brl1	Q9UT30	protein coding gene	brl1	894	258	278	258	278	1430
SPAC8F11.07c	PomBase:SPAC8F11.07c	cdc24	chromosome_1	DNA replication protein Cdc24	O75004	protein coding gene	NA	1506	39	235	39	235	1780
SPAC8F11.08c	PomBase:SPAC8F11.08c	NA	chromosome_1	ER membrane associated esterase/lipase	Q9UT29	protein coding gene	NA	1131	75	233	75	233	1439
SPAC8F11.09c	PomBase:SPAC8F11.09c	nnt1	chromosome_1	nicotinamide N-methyltransferase Nnt1	Q9UT28	protein coding gene	NA	768	63	654	63	654	1485
SPAC8F11.10c	PomBase:SPAC8F11.10c	pvg1	chromosome_1	Golgi pyruvyltransferase Pvg1	Q9UT27	protein coding gene	SPACUNK4.18	1206	240	476	240	476	1922
SPAC9.02c	PomBase:SPAC9.02c	NA	chromosome_1	polyamine N-acetyltransferase	Q9UT25	protein coding gene	NA	498	167	345	167	345	1010
SPAC9.03c	PomBase:SPAC9.03c	brr2	chromosome_1	U5 snRNP complex ATPase subunit Brr2	Q9UT24	protein coding gene	spp41	6531	20	284	20	284	6835
SPAC9.04	PomBase:SPAC9.04	Tf2-1	chromosome_1	retrotransposable element/transposon Tf2-type	P0CT34	protein coding gene	NA	4002	NA	NA	97	261	4360
SPAC9.05	PomBase:SPAC9.05	fml1	chromosome_1	ATP-dependent 3' to 5' DNA helicase, FANCM ortholog Fml1	Q9UT23	protein coding gene	mfh1	2505	226	2610	226	2610	5341
SPAC9.06c	PomBase:SPAC9.06c	NA	chromosome_1	5'-methylthioribulose-1-phosphate dehydratase, adducin Mta3	Q9UT22	protein coding gene	NA	603	100	235	100	235	938
SPAC9.07c	PomBase:SPAC9.07c	NA	chromosome_1	GTPase Obg family, involved in cytoplasmic translation Rbg1	Q9UT21	protein coding gene	NA	1101	40	144	40	144	1285
SPAC9.08c	PomBase:SPAC9.08c	NA	chromosome_1	steroid reductase	Q9UT20	protein coding gene	NA	849	96	327	96	327	1272
SPAC9.09	PomBase:SPAC9.09	met26	chromosome_1	homocysteine methyltransferase Met26	Q9UT19	protein coding gene	NA	2295	229	251	229	251	2775
SPAC9.10	PomBase:SPAC9.10	thi9	chromosome_1	plasma membrane thiamine/proton high affinity transmembrane transporter Thi9	Q9UT18	protein coding gene	ptr1	1776	415	143	415	143	2334
SPAC9.11	PomBase:SPAC9.11	NA	chromosome_1	Schizosaccharomyces specific protein	Q9UT17	protein coding gene	NA	987	216	1042	216	1042	2245
SPAC9.12c	PomBase:SPAC9.12c	atp12	chromosome_1	mitochondrial F1-FO ATP synthase chaperone Atp12	Q9UT16	protein coding gene	NA	876	135	304	135	304	1315
SPAC9.13c	PomBase:SPAC9.13c	cwf16	chromosome_1	splicing factor Cwf16	Q9P7C5	protein coding gene	SPAPJ735.01c	813	173	160	173	160	1146
SPAC922.03	PomBase:SPAC922.03	NA	chromosome_1	1-aminocyclopropane-1-carboxylate deaminase	Q9URX3	protein coding gene	NA	1017	39	55	39	55	1111
SPAC922.04	PomBase:SPAC922.04	NA	chromosome_1	Schizosaccharomyces specific protein	Q9URX2	protein coding gene	NA	354	141	154	141	154	649
SPAC922.05c	PomBase:SPAC922.05c	NA	chromosome_1	transmembrane transporter	Q9URX1	protein coding gene	NA	1515	234	170	234	170	1919
SPAC922.06	PomBase:SPAC922.06	NA	chromosome_1	3-oxoacyl-[acyl-carrier-protein]reductase	Q9URX0	protein coding gene	NA	777	270	140	270	140	1187
SPAC922.07c	PomBase:SPAC922.07c	atd2	chromosome_1	aldehyde dehydrogenase	Q9URW9	protein coding gene	NA	1491	152	268	152	268	1911
SPAC922.09	PomBase:SPAC922.09	NA	chromosome_1	dubious	G2TRL0	protein coding gene	NA	216	NA	NA	97	261	574
SPAC926.02	PomBase:SPAC926.02	NA	chromosome_1	TPR repeat protein	Q9UUG6	protein coding gene	NA	1332	104	1278	104	1278	2714
SPAC926.03	PomBase:SPAC926.03	rlc1	chromosome_1	myosin II regulatory light chain Rlc1	Q9UUG5	protein coding gene	NA	555	308	373	308	373	1236
SPAC926.04c	PomBase:SPAC926.04c	hsp90	chromosome_1	Hsp90 chaperone	P41887	protein coding gene	swo1,git10	2115	251	216	251	216	2582
SPAC926.05c	PomBase:SPAC926.05c	dph4	chromosome_1	diphthamide biosynthesis protein Dph4	Q9UUG3	protein coding gene	NA	420	13	291	13	291	724
SPAC926.06c	PomBase:SPAC926.06c	NA	chromosome_1	leucine-rich repeat protein, unknown role	Q9UUG2	protein coding gene	NA	1866	511	89	511	89	2466
SPAC926.07c	PomBase:SPAC926.07c	dlc2	chromosome_1	dynein light chain Dlc2	Q9UR05	protein coding gene	NA	258	88	366	88	366	712
SPAC926.08c	PomBase:SPAC926.08c	rpf2	chromosome_1	Brix domain ribosome biogenesis protein Rpf2	Q9UUG1	protein coding gene	NA	954	11	318	11	318	1283
SPAC926.09c	PomBase:SPAC926.09c	fas1	chromosome_1	fatty acid synthase beta subunit Fas1	Q9UUG0	protein coding gene	NA	6222	466	237	466	237	6925
SPAC926.10	PomBase:SPAC926.10	new9	chromosome_1	Schizosaccharomyces specific protein New9	G2TRN2	protein coding gene	NA	174	NA	NA	97	261	532
SPAC959.02	PomBase:SPAC959.02	sec17	chromosome_1	alpha SNAP	Q9P4X4	protein coding gene	NA	870	19	461	19	461	1350
SPAC959.03c	PomBase:SPAC959.03c	utp7	chromosome_1	U3 snoRNP-associated protein Utp7	Q9P4X3	protein coding gene	NA	1563	253	109	253	109	1925
SPAC959.04c	PomBase:SPAC959.04c	omh6	chromosome_1	alpha-1,2-mannosyltransferase Omh6	Q9P4X2	protein coding gene	NA	897	295	1136	295	1136	2328
SPAC959.05c	PomBase:SPAC959.05c	pdi4	chromosome_1	ER membrane protein disulfide isomerase Pdi4	Q9P4X1	protein coding gene	NA	1899	NA	468	97	468	2464
SPAC959.06c	PomBase:SPAC959.06c	NA	chromosome_1	alpha/beta hydrolase fold	P0CS92	protein coding gene	NA	678	NA	NA	97	261	1036
SPAC959.07	PomBase:SPAC959.07	rps403	chromosome_1	40S ribosomal protein S4	Q9P4W9	protein coding gene	rps4-3,rps4	789	15	194	15	194	998
SPAC959.08	PomBase:SPAC959.08	rpl2102	chromosome_1	60S ribosomal protein L21	O42706	protein coding gene	rpl21-2,rpl21	483	14	128	14	128	625
SPAC959.09c	PomBase:SPAC959.09c	apc5	chromosome_1	anaphase-promoting complex platform subcomplex scaffold TPR subunit Apc5	Q9P4W7	protein coding gene	SPAP32A8.01c	2235	151	188	151	188	2574
SPAC959.10	PomBase:SPAC959.10	sen15	chromosome_1	tRNA-splicing endonuclease subunit Sen15	Q7LKV3	protein coding gene	NA	432	242	416	242	416	1090
SPAC959.11	PomBase:SPAC959.11	NA	chromosome_1	Schizosaccharomyces specific protein	G2TRM5	protein coding gene	NA	366	358	159	358	159	883
SPAC977.01	PomBase:SPAC977.01	ftm1	chromosome_1	sub-telomeric 5Tm protein family Ftm1, partial, adjacent to genomic sequence gap	P0CU16	protein coding gene	NA	953	NA	353	97	353	1403
SPAC977.02	PomBase:SPAC977.02	ftm2	chromosome_1	sub-telomeric 5Tm protein family Ftm2	P0CU07	protein coding gene	NA	441	NA	342	97	342	880
SPAC977.03	PomBase:SPAC977.03	NA	chromosome_1	methyltransferase	Q9P7U5	protein coding gene	NA	438	NA	NA	97	261	796
SPAC977.04	PomBase:SPAC977.04	NA	chromosome_1	truncated C terminal region of membrane transporter	G2TRN8	protein coding gene	NA	468	NA	162	97	162	727
SPAC977.05c	PomBase:SPAC977.05c	NA	chromosome_1	Velum formation protein 1-like conserved fungal family	Q9P7U4	protein coding gene	NA	615	NA	NA	97	261	973
SPAC977.06	PomBase:SPAC977.06	NA	chromosome_1	S. pombe specific DUF999 family protein 3	Q9P7U3	protein coding gene	NA	570	NA	22	97	22	689
SPAC977.07c	PomBase:SPAC977.07c	pfl6	chromosome_1	cell surface glycoprotein, flocculin Pfl6	P0CU05	protein coding gene	NA	1251	NA	NA	97	261	1609
SPAC977.08	PomBase:SPAC977.08	ayr2	chromosome_1	1-acyl DHAP reductase Ayr2	P0CU00	protein coding gene	NA	711	NA	54	97	54	862
SPAC977.09c	PomBase:SPAC977.09c	plb4	chromosome_1	phospholipase Plb4	P0CU02	protein coding gene	NA	2022	NA	200	97	200	2319
SPAC977.10	PomBase:SPAC977.10	nhe1	chromosome_1	plasma membrane/prospore membrane sodium ion/proton antiporter Nhe1/Sod2	P36606	protein coding gene	sod2	1407	128	258	128	258	1793
SPAC977.11	PomBase:SPAC977.11	fex1	chromosome_1	plasma membrane fluoride export channel Fex1	P0CU19	protein coding gene	NA	936	337	99	337	99	1372
SPAC977.12	PomBase:SPAC977.12	NA	chromosome_1	L-asparaginase	Q9UTS7	protein coding gene	NA	1071	NA	174	97	174	1342
SPAC977.13c	PomBase:SPAC977.13c	NA	chromosome_1	hydrolase, pseudogene (4 frameshifts)	NA	pseudogene	NA	829	NA	NA	0	0	829
SPAC977.14c	PomBase:SPAC977.14c	NA	chromosome_1	aldo/keto reductase, predicted calcium channel regulator	Q9P7U2	protein coding gene	NA	1056	72	101	72	101	1229
SPAC977.15	PomBase:SPAC977.15	NA	chromosome_1	dienelactone hydrolase family, implicated in cellular detoxification	Q9P7U1	protein coding gene	NA	744	38	130	38	130	912
SPAC977.16c	PomBase:SPAC977.16c	dak2	chromosome_1	dihydroxyacetone kinase Dak2	O74215	protein coding gene	NA	1776	NA	345	97	345	2218
SPAC977.17	PomBase:SPAC977.17	NA	chromosome_1	plasma membrane aquaporin family transmembrane transporter	Q9P7T9	protein coding gene	NA	1797	917	882	917	882	3596
SPAC977.18	PomBase:SPAC977.18	NA	chromosome_1	conserved fungal protein	G2TRM1	protein coding gene	NA	402	NA	187	97	187	686
SPAC9E9.01	PomBase:SPAC9E9.01	NA	chromosome_1	dubious	O14287	protein coding gene	NA	300	NA	308	97	308	705
SPAC9E9.02	PomBase:SPAC9E9.02	NA	chromosome_1	dubious	A6X978	protein coding gene	NA	297	NA	1139	97	1139	1533
SPAC9E9.03	PomBase:SPAC9E9.03	leu2	chromosome_1	3-isopropylmalate dehydratase Leu2	O14289	protein coding gene	NA	2277	241	141	241	141	2659
SPAC9E9.04	PomBase:SPAC9E9.04	NA	chromosome_1	bcap family homolog, implicated in vesicle-mediated transport	O14290	protein coding gene	NA	567	48	267	48	267	882
SPAC9E9.05	PomBase:SPAC9E9.05	sor1	chromosome_1	sororin, WAPL antagonist Sor1	O14291	protein coding gene	NA	942	78	1191	78	1191	2211
SPAC9E9.06c	PomBase:SPAC9E9.06c	NA	chromosome_1	threonine synthase	Q42598	protein coding gene	NA	1545	36	293	36	293	1874
SPAC9E9.07c	PomBase:SPAC9E9.07c	ypt2	chromosome_1	GTPase Ypt2	P17609	protein coding gene	NA	603	17	1192	17	1192	1812
SPAC9E9.08	PomBase:SPAC9E9.08	rad26	chromosome_1	ATRIP, ATR checkpoint kinase regulatory subunit Rad26	P36632	protein coding gene	NA	1845	430	300	430	300	2575
SPAC9E9.09c	PomBase:SPAC9E9.09c	atd1	chromosome_1	aldehyde dehydrogenase	O14293	protein coding gene	NA	1512	586	280	586	280	2378
SPAC9E9.10c	PomBase:SPAC9E9.10c	cbh1	chromosome_1	CENP-B homolog Cbh1, domesticated transposable element	O14423	protein coding gene	cbh	1545	109	305	109	305	1959
SPAC9E9.11	PomBase:SPAC9E9.11	plr1	chromosome_1	pyridoxal reductase Plr1	O14295	protein coding gene	plr	1002	87	116	87	116	1205
SPAC9E9.12c	PomBase:SPAC9E9.12c	abc1	chromosome_1	ABC transmembrane transporter Abc1/Ybt1	Q92337	protein coding gene	ybt1	4284	324	139	324	139	4747
SPAC9E9.13	PomBase:SPAC9E9.13	wos2	chromosome_1	p23 homolog, predicted co-chaperone Wos2	Q11118	protein coding gene	NA	561	94	349	94	349	1004
SPAC9E9.14	PomBase:SPAC9E9.14	vps24	chromosome_1	ESCRT III complex subunit Vps24	O14296	protein coding gene	NA	696	484	271	484	271	1451
SPAC9E9.15	PomBase:SPAC9E9.15	NA	chromosome_1	mitochondrial protein complex assembly protein	O14297	protein coding gene	NA	660	135	75	135	75	870
SPAC9E9.17c	PomBase:SPAC9E9.17c	NA	chromosome_1	dubious	Q9UT14	protein coding gene	NA	219	NA	NA	97	261	577
SPAC9G1.02	PomBase:SPAC9G1.02	wis4	chromosome_1	MAP kinase kinase kinase Wis4	O14299	protein coding gene	wak1,wik1	4206	261	252	261	252	4719
SPAC9G1.03c	PomBase:SPAC9G1.03c	rpl3001	chromosome_1	60S ribosomal protein L30	P52808	protein coding gene	rpl30-1,rpl30	330	29	187	29	187	546
SPAC9G1.04	PomBase:SPAC9G1.04	oxa101	chromosome_1	mitochondrial inner membrane insertase Oxa101	O14300	protein coding gene	oxa1,oxa1-1,oxa1sp1	1125	82	53	82	53	1260
SPAC9G1.05	PomBase:SPAC9G1.05	aip1	chromosome_1	actin binding WD repeat protein Aip1	O14301	protein coding gene	NA	1788	45	148	45	148	1981
SPAC9G1.06c	PomBase:SPAC9G1.06c	cyk3	chromosome_1	Nebulin-family actin filament anchoring protein Cyk3	O14302	protein coding gene	NA	2661	42	2610	42	2610	5313
SPAC9G1.07	PomBase:SPAC9G1.07	NA	chromosome_1	Schizosaccharomyces specific protein	O14303	protein coding gene	NA	1212	189	104	189	104	1505
SPAC9G1.08c	PomBase:SPAC9G1.08c	NA	chromosome_1	palmitoyl-(protein) hydrolase	O14304	protein coding gene	NA	726	148	1445	148	1445	2319
SPAC9G1.09	PomBase:SPAC9G1.09	sid1	chromosome_1	PAK-related GC kinase Sid1	O14305	protein coding gene	NA	1416	59	4006	59	4006	5481
SPAC9G1.10c	PomBase:SPAC9G1.10c	inp53	chromosome_1	inositol polyphosphate phosphatase Inp53	O14306	protein coding gene	NA	3576	130	105	130	105	3811
SPAC9G1.11c	PomBase:SPAC9G1.11c	spn4	chromosome_1	mitotic septin Spn4	P48009	protein coding gene	NA	1143	152	305	152	305	1600
SPAC9G1.12	PomBase:SPAC9G1.12	cpd1	chromosome_1	tRNA (m1A) methyltransferase complex catalytic subunit Cpd1	O14307	protein coding gene	NA	1095	273	1172	273	1172	2540
SPAC9G1.13c	PomBase:SPAC9G1.13c	swc4	chromosome_1	Swr1 complex subunit Swc4	O14308	protein coding gene	NA	1314	33	78	33	78	1425
SPAC9G1.14	PomBase:SPAC9G1.14	NA	chromosome_1	dubious	G2TRK6	protein coding gene	NA	246	NA	367	97	367	710
SPAC9G1.15c	PomBase:SPAC9G1.15c	mzt1	chromosome_1	mitotic spindle organizing protein Mzt1	P0CF96	protein coding gene	tam4	195	64	NA	64	261	520
SPACUNK12.02c	PomBase:SPACUNK12.02c	cmk1	chromosome_1	calcium/calmodulin-dependent protein kinase Cmk1	Q9P7I2	protein coding gene	CaMK-I	1008	213	379	213	379	1600
SPACUNK4.06c	PomBase:SPACUNK4.06c	rpb7	chromosome_1	DNA-directed RNA polymerase complex II subunit Rpb7	O14459	protein coding gene	SPAPYUK71.02,csp3	519	204	260	204	260	983
SPACUNK4.07c	PomBase:SPACUNK4.07c	cta4	chromosome_1	P-type ATPase family V, transmembrane protein dislocase/calcium transporting ATPase Cta4	O14072	protein coding gene	sev4,SPAPYUK71.01	3636	70	276	70	276	3982
SPACUNK4.08	PomBase:SPACUNK4.08	dpp2	chromosome_1	dipeptidyl peptidase	O14073	protein coding gene	ppp50	2382	343	121	343	121	2846
SPACUNK4.09	PomBase:SPACUNK4.09	NA	chromosome_1	methyltransferase with rhodanese domain, unknown specificity	O14074	protein coding gene	NA	1020	NA	136	97	136	1253
SPACUNK4.10	PomBase:SPACUNK4.10	gor1	chromosome_1	glyoxylate reductase	O14075	protein coding gene	NA	1005	204	167	204	167	1376
SPACUNK4.11c	PomBase:SPACUNK4.11c	mpp6	chromosome_1	nuclear exosome-associated RNA binding protein Mpp6	O14076	protein coding gene	NA	567	82	108	82	108	757
SPACUNK4.12c	PomBase:SPACUNK4.12c	iph1	chromosome_1	insulinase pombe homologue 1	O14077	protein coding gene	mug138,irp1,ppp34	2910	99	147	99	147	3156
SPACUNK4.13c	PomBase:SPACUNK4.13c	NA	chromosome_1	mitochondrial NTPase Obg family, human OLA1 ortholog, implicated in mitochondrial translation, ribosome assembly, or tRNA metabolism	O14078	protein coding gene	NA	1224	166	61	166	61	1451
SPACUNK4.14	PomBase:SPACUNK4.14	mdb1	chromosome_1	BRCT domain protein Mdb1	O14079	protein coding gene	NA	1875	144	391	144	391	2410
SPACUNK4.15	PomBase:SPACUNK4.15	NA	chromosome_1	2',3'-cyclic-nucleotide 3'-phosphodiesterase	O14080	protein coding gene	NA	627	401	142	401	142	1170
SPACUNK4.16c	PomBase:SPACUNK4.16c	tps3	chromosome_1	alpha,alpha-trehalose-phosphate synthase	O14081	protein coding gene	NA	2835	82	237	82	237	3154
SPACUNK4.17	PomBase:SPACUNK4.17	NA	chromosome_1	NAD binding dehydrogenase family protein, human DHDH ortholog, unknown biological role, implicated in carbohydrate metabolic process	O14082	protein coding gene	NA	1221	327	254	327	254	1802
SPACUNK4.19	PomBase:SPACUNK4.19	mug153	chromosome_1	Schizosaccharomyces pombe specific protein	Q9C0U3	protein coding gene	NA	330	343	1270	343	1270	1943
SPACUNK4.20	PomBase:SPACUNK4.20	NA	chromosome_1	dubious	G2TRL8	protein coding gene	NA	225	98	1145	98	1145	1468
SPAP11E10.01	PomBase:SPAP11E10.01	NA	chromosome_1	ornithine cyclodeaminase-like protein	Q9HDZ0	protein coding gene	NA	993	414	106	414	106	1513
SPAP11E10.02c	PomBase:SPAP11E10.02c	mam3	chromosome_1	cell surface adhesion protein for conjugation Mam3	Q9HDY9	protein coding gene	SPAPB1A10.01c	3249	548	60	548	60	3857
