"consensus.cluster"	"chr"	"start"	"end"	"strand"	"dominant_ctss"	"tpm"	"tpm.dominant_ctss"	"q_0.1"	"q_0.9"	"interquantile_width"
5742	"chrIV"	490435	490639	"+"	490451	6.47851116824089	3.46775079129906	490448	490512	65
5744	"chrIV"	491287	491361	"+"	491316	1.12903514135318	0.34946325803789	491316	491358	43
5747	"chrIV"	491391	491589	"+"	491501	1309.25065534442	520.727136265536	491486	491501	16
5748	"chrIV"	491656	491722	"+"	491668	0.456990414357241	0.34946325803789	491657	491668	12
5749	"chrIV"	491898	492005	"+"	491927	9.24733544346417	4.51614056541273	491927	491976	50
5750	"chrIV"	492055	492119	"+"	492118	3.01076037694182	0.860217250554806	492056	492119	64
5755	"chrIV"	501492	501508	"+"	501508	0.806453672395131	0.672044726995943	501493	501508	16
5756	"chrIV"	501756	501829	"+"	501777	3.57527794761841	1.74731629018945	501776	501786	11
5759	"chrIV"	503419	503556	"+"	503491	108.226082835427	23.9785558592152	503465	503491	27
5762	"chrIV"	505075	505093	"+"	505089	0.618281148836267	0.403226836197566	505076	505093	18
5763	"chrIV"	506405	506628	"+"	506552	26.9624344470772	4.73119487805144	506517	506573	57
5766	"chrIV"	507232	507235	"+"	507235	0.806453672395131	0.34946325803789	507233	507235	3
5768	"chrIV"	507616	508269	"+"	507901	1650.86443097099	742.206196494319	507894	507920	27
5771	"chrIV"	508496	509073	"+"	508832	28.6022235809473	5.61829391768608	508652	508976	325
5774	"chrIV"	512481	512649	"+"	512559	38.7366580640461	7.60754630959407	512486	512575	90
5776	"chrIV"	512993	513080	"+"	512994	0.241936101718539	0.134408945399189	512994	513050	57
5777	"chrIV"	519972	520017	"+"	519996	0.268817890798377	0.134408945399189	519996	520010	15
5778	"chrIV"	520711	520714	"+"	520714	66.7206004961572	66.3442554490395	520714	520714	1
5779	"chrIV"	521178	521354	"+"	521297	30.967821019973	6.7742108481191	521258	521316	59
5782	"chrIV"	521639	521887	"+"	521737	136.935833572693	56.9893928492559	521733	521796	64
5783	"chrIV"	521936	522087	"+"	521942	0.456990414357241	0.188172523558864	521940	522020	81
5784	"chrIV"	522117	522460	"+"	522414	6.69356548087959	1.2096805085927	522160	522414	255
5785	"chrIV"	522481	522661	"+"	522546	9.00539934174563	2.87635143154263	522487	522612	126
5786	"chrIV"	522689	522783	"+"	522729	3.9247412056563	3.0645239551015	522728	522729	2
5790	"chrIV"	524965	525107	"+"	524990	7.9838913567118	5.72582107400543	524986	525076	91
5792	"chrIV"	525301	525608	"+"	525419	727.716912180286	244.893098517321	525386	525421	36
5795	"chrIV"	525967	526706	"+"	525990	11.6398146715697	1.31720766491205	525990	526503	514
5796	"chrIV"	526888	526929	"+"	526891	1.12903514135318	0.483872203437079	526889	526911	23
5798	"chrIV"	535443	535501	"+"	535484	0.403226836197566	0.322581468958052	535450	535484	35
5799	"chrIV"	538789	538862	"+"	538799	0.430108625277403	0.107527156319351	538799	538843	45
5802	"chrIV"	539557	540065	"+"	539768	153.683188169432	18.7634887777267	539719	539850	132
5803	"chrIV"	540128	540163	"+"	540140	1.53226197755075	1.23656229767253	540140	540146	7
5804	"chrIV"	540206	540269	"+"	540207	0.483872203437079	0.161290734479026	540207	540269	63
5805	"chrIV"	542035	542118	"+"	542059	1.98925239190799	0.241936101718539	542040	542111	72
5807	"chrIV"	542579	542640	"+"	542580	1.72043450110961	0.752690094235456	542580	542637	58
5811	"chrIV"	544065	544139	"+"	544075	4.62366772173208	2.36559743902572	544075	544088	14
5812	"chrIV"	544201	544243	"+"	544242	0.672044726995943	0.564517570676592	544202	544242	41
5815	"chrIV"	544529	544557	"+"	544535	3.46775079129906	2.33871564994588	544535	544544	10
5817	"chrIV"	544756	544886	"+"	544813	1.2096805085927	0.376345047117728	544760	544871	112
5821	"chrIV"	546381	546496	"+"	546492	12.3387411876455	2.66129711890393	546398	546492	95
5822	"chrIV"	546531	546897	"+"	546599	27.7420063303925	6.96238337167797	546570	546662	93
5824	"chrIV"	547071	547334	"+"	547102	3.22581468958052	0.564517570676592	547102	547270	169
5827	"chrIV"	550930	550962	"+"	550962	0.69892651607578	0.188172523558864	550931	550962	32
5828	"chrIV"	551389	551571	"+"	551510	48.199047820149	9.91938017046011	551403	551530	128
5830	"chrIV"	551596	551923	"+"	551736	114.543303269188	27.0430798143167	551715	551750	36
5831	"chrIV"	551979	552076	"+"	552055	1.55914376663059	0.430108625277403	551984	552065	82
5832	"chrIV"	552116	552190	"+"	552132	1.8548434465088	0.322581468958052	552124	552159	36
5834	"chrIV"	552442	552649	"+"	552512	3.09140574418134	0.752690094235456	552443	552591	149
5835	"chrIV"	553101	553280	"+"	553226	11.4516421480109	4.08603194013533	553166	553228	63
5838	"chrIV"	553739	553792	"+"	553783	0.430108625277403	0.295699679878215	553783	553787	5
5839	"chrIV"	553976	554162	"+"	554033	0.295699679878215	0.161290734479026	554032	554033	2
5846	"chrIV"	556707	556807	"+"	556746	1.39785303215156	0.537635781596754	556725	556748	24
5847	"chrIV"	556984	557096	"+"	557042	2.17742491546685	0.34946325803789	556988	557066	79
5853	"chrIV"	563207	563244	"+"	563233	2.47312459534507	1.55914376663059	563217	563235	19
5854	"chrIV"	563345	563350	"+"	563350	0.483872203437079	0.34946325803789	563346	563350	5
5855	"chrIV"	563437	563527	"+"	563466	117.473418278891	71.4249135851288	563458	563471	14
5856	"chrIV"	563559	563905	"+"	563693	2.41936101718539	0.564517570676592	563676	563886	211
5858	"chrIV"	564346	564719	"+"	564553	7.9838913567118	3.38710542405955	564419	564564	146
5861	"chrIV"	565858	565980	"+"	565879	18.709725199567	2.55376996258458	565879	565953	75
5871	"chrIV"	569099	569200	"+"	569100	0.618281148836267	0.376345047117728	569100	569176	77
5875	"chrIV"	570038	570130	"+"	570060	3.76345047117728	0.833335461474969	570051	570102	52
5876	"chrIV"	570535	570677	"+"	570567	66.3711372381193	14.3548753686333	570558	570608	51
5877	"chrIV"	570716	571069	"+"	570975	5.37635781596754	1.2096805085927	570764	570994	231
5878	"chrIV"	571167	571169	"+"	571169	0.537635781596754	0.430108625277403	571168	571169	2
5879	"chrIV"	571240	571242	"+"	571241	0.456990414357241	0.268817890798377	571241	571242	2
5881	"chrIV"	571939	571967	"+"	571940	0.34946325803789	0.188172523558864	571940	571942	3
5883	"chrIV"	572542	572562	"+"	572562	0.241936101718539	0.134408945399189	572561	572562	2
5884	"chrIV"	572791	572841	"+"	572801	1.18279871951286	0.860217250554806	572792	572801	10
5885	"chrIV"	573052	573496	"+"	573410	5.37635781596754	0.537635781596754	573090	573446	357
5886	"chrIV"	573556	573582	"+"	573572	0.34946325803789	0.188172523558864	573557	573572	16
5888	"chrIV"	574078	574217	"+"	574109	74.4625557511504	20.4301597006767	574109	574148	40
5898	"chrIV"	576055	576534	"+"	576096	185.995098643397	25.9946900402031	576069	576158	90
5899	"chrIV"	576577	576631	"+"	576579	0.510753992516916	0.376345047117728	576578	576579	2
5900	"chrIV"	576747	576821	"+"	576766	0.645162937916105	0.268817890798377	576766	576773	8
5901	"chrIV"	577240	577311	"+"	577294	1.58602555571042	0.510753992516916	577241	577295	55
5902	"chrIV"	577380	577383	"+"	577383	0.34946325803789	0.188172523558864	577381	577383	3
5903	"chrIV"	577525	577648	"+"	577591	0.725808305155618	0.456990414357241	577526	577625	100
5904	"chrIV"	577783	577924	"+"	577828	4.08603194013533	0.913980828714482	577805	577904	100
5906	"chrIV"	578466	578714	"+"	578595	128.817533270582	40.3226836197566	578524	578637	114
5908	"chrIV"	579352	579547	"+"	579425	1949.35981691351	822.663391210273	579425	579441	17
5910	"chrIV"	579729	580256	"+"	580128	195.726306290298	83.8443001400138	580026	580128	103
5911	"chrIV"	580577	580911	"+"	580642	7.79571883315293	2.09677954822734	580625	580812	188
5914	"chrIV"	581277	581304	"+"	581284	0.215054312638702	0.107527156319351	581284	581288	5
5918	"chrIV"	583604	583937	"+"	583673	44.3818337708121	11.7204600388092	583660	583692	33
5919	"chrIV"	584007	584030	"+"	584025	0.806453672395131	0.564517570676592	584008	584025	18
5920	"chrIV"	584127	584190	"+"	584164	1.55914376663059	0.913980828714482	584162	584164	3
5921	"chrIV"	584210	584365	"+"	584299	5.86023001940462	2.71506069706361	584260	584299	40
5922	"chrIV"	584413	584473	"+"	584451	0.403226836197566	0.215054312638702	584443	584451	9
5924	"chrIV"	587991	588028	"+"	588022	1.4247348212314	0.403226836197566	588009	588028	20
5925	"chrIV"	588439	588464	"+"	588464	0.430108625277403	0.188172523558864	588440	588464	25
5927	"chrIV"	589702	589784	"+"	589771	2.12366133730718	1.4247348212314	589703	589771	69
5929	"chrIV"	590992	591093	"+"	591012	6.69356548087959	1.29032587583221	591005	591046	42
5932	"chrIV"	591630	591673	"+"	591631	1.74731629018945	0.887099039634644	591631	591650	20
5935	"chrIV"	592111	592635	"+"	592363	69.6775972949393	8.17206388027066	592158	592466	309
5936	"chrIV"	592682	592727	"+"	592711	0.376345047117728	0.188172523558864	592711	592721	11
5940	"chrIV"	593561	594361	"+"	593799	606.910152055496	172.634849470718	593783	593807	25
5942	"chrIV"	594378	594734	"+"	594483	14.1398210559946	4.59678593265225	594420	594483	64
5943	"chrIV"	594759	595035	"+"	594822	2.2849520717862	0.403226836197566	594791	594951	161
5946	"chrIV"	595321	595605	"+"	595391	1.98925239190799	0.860217250554806	595385	595545	161
5948	"chrIV"	595734	596003	"+"	595800	1.47849839939107	0.672044726995943	595781	595865	85
5952	"chrIV"	596952	597267	"+"	596984	6.5591565354804	1.53226197755075	596953	596987	35
5954	"chrIV"	598388	598525	"+"	598413	4.13979551829501	1.29032587583221	598401	598447	47
5961	"chrIV"	600506	600673	"+"	600523	2.82258785338296	1.18279871951286	600523	600617	95
5962	"chrIV"	600705	601646	"+"	600762	1312.476470034	346.801960918986	600748	601152	405
5963	"chrIV"	601676	601875	"+"	601817	15.9140191352639	6.37098401192154	601779	601819	41
5965	"chrIV"	602113	602328	"+"	602155	1.47849839939107	0.430108625277403	602140	602321	182
5967	"chrIV"	602981	603251	"+"	603043	38.4140765950881	10.1881980612585	603030	603085	56
5968	"chrIV"	603397	603412	"+"	603398	0.510753992516916	0.403226836197566	603398	603412	15
5969	"chrIV"	603475	603509	"+"	603476	0.268817890798377	0.161290734479026	603476	603490	15
5970	"chrIV"	603700	603764	"+"	603764	0.241936101718539	0.134408945399189	603759	603764	6
5971	"chrIV"	603904	604448	"+"	603976	17.8226261599324	4.97313097976998	603970	604004	35
5975	"chrIV"	604962	604979	"+"	604978	0.268817890798377	0.161290734479026	604976	604978	3
5978	"chrIV"	605283	605328	"+"	605284	0.483872203437079	0.376345047117728	605284	605327	44
5979	"chrIV"	606555	606558	"+"	606557	0.510753992516916	0.322581468958052	606556	606557	2
5981	"chrIV"	610263	610445	"+"	610396	8.52152713830855	3.22581468958052	610349	610409	61
5986	"chrIV"	612026	612155	"+"	612051	72.9840573517594	46.2635590064007	612051	612060	10
5987	"chrIV"	612181	612281	"+"	612263	4.03226836197566	0.645162937916105	612207	612263	57
5989	"chrIV"	612643	612694	"+"	612694	1.53226197755075	0.618281148836267	612644	612694	51
5992	"chrIV"	614199	614306	"+"	614200	2.04301597006767	0.34946325803789	614200	614299	100
5993	"chrIV"	616304	616403	"+"	616314	2.90323322062247	1.31720766491205	616314	616350	37
5994	"chrIV"	616539	616572	"+"	616554	0.833335461474969	0.241936101718539	616546	616572	27
5995	"chrIV"	616708	616866	"+"	616732	2.71506069706361	0.376345047117728	616729	616809	81
5998	"chrIV"	617458	617533	"+"	617515	1.29032587583221	0.860217250554806	617459	617524	66
6000	"chrIV"	617739	617819	"+"	617809	1.69355271202978	1.29032587583221	617740	617819	80
6003	"chrIV"	621502	621634	"+"	621616	3.22581468958052	0.94086261779432	621576	621616	41
6005	"chrIV"	621920	622096	"+"	621991	20.537686856996	8.36023640382952	621986	622084	99
6013	"chrIV"	623876	623898	"+"	623898	1.04838977411367	0.376345047117728	623877	623898	22
6014	"chrIV"	624046	624048	"+"	624047	0.241936101718539	0.134408945399189	624047	624048	2
6015	"chrIV"	624147	624167	"+"	624149	0.913980828714482	0.59139935975643	624148	624149	2
6021	"chrIV"	629762	629906	"+"	629852	126.021827206279	46.5323768971991	629793	629861	69
6022	"chrIV"	630094	630337	"+"	630181	1.23656229767253	0.59139935975643	630158	630266	109
6023	"chrIV"	630386	630414	"+"	630395	1.10215335227335	0.994626195953995	630395	630395	1
6024	"chrIV"	630977	631054	"+"	631016	47.7958209839514	20.5108050679162	631000	631026	27
6025	"chrIV"	631079	631174	"+"	631156	1.10215335227335	0.322581468958052	631132	631158	27
6026	"chrIV"	631249	631260	"+"	631260	1.15591693043302	1.15591693043302	631260	631260	1
6028	"chrIV"	631432	631676	"+"	631662	3.87097762749663	2.25807028270637	631445	631664	220
6030	"chrIV"	631927	631993	"+"	631949	0.295699679878215	0.188172523558864	631931	631972	42
6032	"chrIV"	632241	632243	"+"	632243	0.322581468958052	0.215054312638702	632242	632243	2
6040	"chrIV"	635520	635523	"+"	635523	0.322581468958052	0.161290734479026	635521	635523	3
6043	"chrIV"	636452	637202	"+"	636945	82.6615014205009	14.4892843140325	636562	637082	521
6047	"chrIV"	637623	637629	"+"	637626	0.295699679878215	0.161290734479026	637626	637629	4
6049	"chrIV"	638324	638516	"+"	638474	0.618281148836267	0.456990414357241	638327	638475	149
6053	"chrIV"	638857	639057	"+"	638926	0.215054312638702	0.215054312638702	638858	639038	181
6055	"chrIV"	639267	639367	"+"	639268	0.833335461474969	0.322581468958052	639268	639367	100
6057	"chrIV"	651545	651764	"+"	651620	0.456990414357241	0.241936101718539	651620	651654	35
6060	"chrIV"	652614	652848	"+"	652718	313.334133514588	68.4410349972668	652686	652724	39
6063	"chrIV"	653354	653399	"+"	653381	22.3387667253451	9.24733544346417	653356	653381	26
6064	"chrIV"	653417	654359	"+"	653578	54.8388497228689	3.36022363497971	653508	654226	719
6065	"chrIV"	654936	655066	"+"	654993	136.693897470975	40.5915015105549	654973	655007	35
6066	"chrIV"	655120	655307	"+"	655239	4.05915015105549	1.04838977411367	655200	655301	102
6068	"chrIV"	657715	657853	"+"	657772	6.82797442627878	1.45161661031124	657739	657790	52
6070	"chrIV"	658195	658551	"+"	658305	31.3441660670908	4.46237698725306	658301	658365	65
6081	"chrIV"	666914	666998	"+"	666982	3.4946325803789	1.8548434465088	666982	666986	5
6082	"chrIV"	667549	667597	"+"	667585	0.295699679878215	0.188172523558864	667585	667594	10
6089	"chrIV"	671145	671331	"+"	671256	6.07528433204332	1.98925239190799	671202	671256	55
6093	"chrIV"	676027	676123	"+"	676047	24.0860830155346	12.7419680238431	676047	676073	27
6095	"chrIV"	676256	676259	"+"	676257	0.430108625277403	0.322581468958052	676257	676258	2
6098	"chrIV"	677509	677513	"+"	677511	0.645162937916105	0.456990414357241	677511	677513	3
6102	"chrIV"	680192	680232	"+"	680212	1.77419807926929	0.672044726995943	680197	680213	17
6103	"chrIV"	680470	680560	"+"	680523	3.01076037694182	1.6397891338701	680492	680529	38
6104	"chrIV"	681998	682059	"+"	682050	0.860217250554806	0.34946325803789	681999	682059	61
6105	"chrIV"	682095	682197	"+"	682135	167.28537344383	35.5108433744656	682121	682161	41
6106	"chrIV"	682293	682363	"+"	682324	3.57527794761841	0.913980828714482	682306	682362	57
6109	"chrIV"	685798	685884	"+"	685852	3.17205111142085	0.672044726995943	685838	685865	28
6111	"chrIV"	688088	688177	"+"	688143	126.425054042477	33.9248178187552	688122	688148	27
6112	"chrIV"	688198	688361	"+"	688209	22.9570478741814	8.79034502910693	688200	688233	34
6115	"chrIV"	689278	689281	"+"	689279	0.59139935975643	0.376345047117728	689279	689281	3
6116	"chrIV"	689435	689439	"+"	689438	0.295699679878215	0.188172523558864	689436	689438	3
6119	"chrIV"	690213	690239	"+"	690214	1.15591693043302	0.806453672395131	690214	690238	25
6121	"chrIV"	690911	691119	"+"	690966	109.597054078498	51.021635673532	690966	690985	20
6123	"chrIV"	693441	693983	"+"	693465	19.220479192084	1.53226197755075	693450	693877	428
6124	"chrIV"	694374	694540	"+"	694412	76.3980445648988	25.2151181568878	694383	694416	34
6125	"chrIV"	694599	694762	"+"	694625	1.18279871951286	0.241936101718539	694617	694738	122
6132	"chrIV"	696431	696646	"+"	696589	0.376345047117728	0.188172523558864	696589	696606	18
6140	"chrIV"	699718	699993	"+"	699860	7.95700956763196	1.77419807926929	699736	699969	234
6142	"chrIV"	700184	700397	"+"	700256	2.23118849362653	1.07527156319351	700188	700320	133
6152	"chrIV"	702339	702364	"+"	702340	0.403226836197566	0.161290734479026	702340	702354	15
6154	"chrIV"	703122	703239	"+"	703229	3.76345047117728	0.887099039634644	703142	703233	92
6155	"chrIV"	703445	703452	"+"	703446	0.215054312638702	0.107527156319351	703446	703452	7
6157	"chrIV"	703938	704086	"+"	704080	2.63441532982409	0.833335461474969	703952	704080	129
6158	"chrIV"	704330	704538	"+"	704408	88.951840065183	19.8656421300001	704390	704450	61
6160	"chrIV"	704772	704921	"+"	704920	0.69892651607578	0.215054312638702	704793	704920	128
6162	"chrIV"	705108	705184	"+"	705139	2.17742491546685	1.80107986834913	705138	705139	2
6164	"chrIV"	705402	705507	"+"	705405	0.672044726995943	0.510753992516916	705403	705478	76
6167	"chrIV"	706192	706195	"+"	706195	0.376345047117728	0.215054312638702	706193	706195	3
6168	"chrIV"	706979	707071	"+"	707069	0.403226836197566	0.215054312638702	707069	707071	3
6174	"chrIV"	709426	709584	"+"	709505	14.3817571577132	5.9139935975643	709505	709516	12
6179	"chrIV"	710445	710501	"+"	710501	0.403226836197566	0.295699679878215	710500	710501	2
6185	"chrIV"	711521	711743	"+"	711528	1.02150798503383	0.295699679878215	711525	711580	56
6190	"chrIV"	718633	718714	"+"	718675	2.20430670454669	0.483872203437079	718641	718702	62
6192	"chrIV"	720604	720647	"+"	720622	2.74194248614345	0.994626195953995	720605	720628	24
6198	"chrIV"	721918	722208	"+"	722185	1.82796165742896	0.645162937916105	722001	722190	190
6199	"chrIV"	722290	722339	"+"	722295	0.913980828714482	0.483872203437079	722295	722304	10
6203	"chrIV"	722967	723080	"+"	723025	0.752690094235456	0.645162937916105	722977	723041	65
6209	"chrIV"	728127	728218	"+"	728174	25.5376996258458	14.1667028450745	728159	728174	16
6210	"chrIV"	728258	728381	"+"	728263	0.483872203437079	0.268817890798377	728259	728309	51
6212	"chrIV"	728664	728753	"+"	728686	0.618281148836267	0.403226836197566	728684	728686	3
6216	"chrIV"	730536	730624	"+"	730565	13.1183130709608	3.89785941657647	730554	730587	34
6217	"chrIV"	730793	730928	"+"	730821	0.967744406874157	0.403226836197566	730815	730928	114
6218	"chrIV"	731009	731125	"+"	731066	0.268817890798377	0.161290734479026	731066	731068	3
6219	"chrIV"	731189	731312	"+"	731295	0.806453672395131	0.215054312638702	731253	731312	60
6224	"chrIV"	732222	732311	"+"	732227	0.268817890798377	0.161290734479026	732223	732292	70
6227	"chrIV"	733386	733406	"+"	733387	0.456990414357241	0.241936101718539	733387	733392	6
6228	"chrIV"	733602	733676	"+"	733615	1.23656229767253	0.268817890798377	733604	733657	54
6229	"chrIV"	734091	734382	"+"	734124	58.2259551469285	46.9624855224765	734124	734133	10
6232	"chrIV"	740259	740286	"+"	740286	0.456990414357241	0.188172523558864	740260	740286	27
6235	"chrIV"	743379	743591	"+"	743384	0.564517570676592	0.456990414357241	743384	743482	99
6236	"chrIV"	744217	744306	"+"	744254	0.887099039634644	0.510753992516916	744219	744254	36
6237	"chrIV"	746493	746584	"+"	746534	0.456990414357241	0.188172523558864	746524	746534	11
6238	"chrIV"	746635	746740	"+"	746672	83.6830094055348	21.8817763109879	746650	746680	31
6239	"chrIV"	746765	747085	"+"	746922	10.9408881554939	3.09140574418134	746905	747003	99
6240	"chrIV"	747151	747439	"+"	747291	1.98925239190799	1.12903514135318	747291	747353	63
6243	"chrIV"	747694	747702	"+"	747696	1.88172523558864	1.55914376663059	747696	747697	2
6245	"chrIV"	748031	748041	"+"	748033	0.752690094235456	0.34946325803789	748033	748039	7
6246	"chrIV"	751177	751253	"+"	751183	3.30646005682004	2.36559743902572	751183	751199	17
6248	"chrIV"	751533	751612	"+"	751560	15.7258466117051	4.03226836197566	751557	751593	37
6255	"chrIV"	755224	755320	"+"	755303	3.17205111142085	0.672044726995943	755256	755303	48
6257	"chrIV"	755529	755960	"+"	755568	50.2151820011368	16.4785367059405	755566	755588	23
6281	"chrIV"	761597	761755	"+"	761715	0.69892651607578	0.322581468958052	761618	761755	138
6288	"chrIV"	762792	763131	"+"	763064	0.537635781596754	0.295699679878215	762974	763075	102
6291	"chrIV"	763828	763905	"+"	763890	0.59139935975643	0.188172523558864	763844	763896	53
6292	"chrIV"	764773	764885	"+"	764775	2.44624280626523	0.860217250554806	764775	764872	98
6296	"chrIV"	765600	765842	"+"	765682	79.4625685200002	11.3441149916915	765647	765706	60
6297	"chrIV"	765865	766239	"+"	765995	6.90861979351829	1.6397891338701	765989	766128	140
6298	"chrIV"	768086	768205	"+"	768195	0.268817890798377	0.134408945399189	768147	768196	50
6299	"chrIV"	769183	769237	"+"	769203	3.81721404933695	1.4247348212314	769193	769205	13
6302	"chrIV"	769435	769752	"+"	769491	148.844466135061	52.5807794401625	769475	769514	40
6305	"chrIV"	770287	770547	"+"	770322	362.043935327254	142.285309599581	770318	770336	19
6306	"chrIV"	770587	771026	"+"	770778	9.43550796702303	1.07527156319351	770633	770938	306
6309	"chrIV"	771703	771955	"+"	771780	31.4516932234101	4.4892587763329	771766	771818	53
6318	"chrIV"	773503	773706	"+"	773520	0.295699679878215	0.188172523558864	773519	773698	180
6322	"chrIV"	775119	775163	"+"	775121	1.4247348212314	1.02150798503383	775120	775121	2
6324	"chrIV"	775939	776117	"+"	775985	19.381769926563	5.21506708148851	775976	776054	79
6328	"chrIV"	778956	779043	"+"	779020	47.1237762569555	10.2957252175778	778995	779025	31
6329	"chrIV"	779186	779411	"+"	779375	1.88172523558864	0.456990414357241	779187	779375	189
6330	"chrIV"	779487	779522	"+"	779503	1.31720766491205	0.537635781596754	779488	779522	35
6331	"chrIV"	779819	779837	"+"	779821	0.833335461474969	0.34946325803789	779820	779837	18
6332	"chrIV"	781112	781137	"+"	781125	0.268817890798377	0.161290734479026	781122	781125	4
6333	"chrIV"	781193	781224	"+"	781214	0.483872203437079	0.376345047117728	781214	781219	6
6334	"chrIV"	781308	781676	"+"	781350	36.8549328284575	13.9516485324358	781350	781591	242
6335	"chrIV"	784360	784456	"+"	784452	0.510753992516916	0.161290734479026	784397	784456	60
6336	"chrIV"	784752	784917	"+"	784834	52.2044343930448	16.0484280806631	784806	784860	55
6337	"chrIV"	784972	785155	"+"	785062	0.241936101718539	0.134408945399189	785052	785062	11
6341	"chrIV"	789354	789511	"+"	789414	188.280050715183	74.2475014385117	789414	789437	24
6342	"chrIV"	789524	789546	"+"	789546	1.47849839939107	0.833335461474969	789534	789546	13
6343	"chrIV"	789599	789695	"+"	789606	2.52688817350474	0.913980828714482	789606	789675	70
6344	"chrIV"	789749	789752	"+"	789752	0.456990414357241	0.34946325803789	789751	789752	2
6346	"chrIV"	790238	790794	"+"	790288	311.022299653722	133.602491726793	790288	790326	39
6347	"chrIV"	790898	790915	"+"	790901	3.89785941657647	3.2795782677402	790901	790902	2
6348	"chrIV"	790990	791249	"+"	791033	2.12366133730718	0.860217250554806	791033	791220	188
6350	"chrIV"	791439	791450	"+"	791440	0.295699679878215	0.188172523558864	791440	791450	11
6351	"chrIV"	791530	791580	"+"	791538	0.967744406874157	0.645162937916105	791537	791564	28
6352	"chrIV"	794455	794565	"+"	794520	7.68819167683358	5.72582107400543	794477	794520	44
6353	"chrIV"	794588	794643	"+"	794623	0.322581468958052	0.188172523558864	794596	794635	40
6360	"chrIV"	803818	803897	"+"	803876	0.833335461474969	0.483872203437079	803823	803881	59
6361	"chrIV"	803952	804153	"+"	803963	6.69356548087959	2.15054312638702	803963	804095	133
6366	"chrIV"	806426	807582	"+"	806535	502.447519691247	199.328466026997	806535	806926	392
6368	"chrIV"	808228	808946	"+"	808271	253.36086207747	41.6398912846686	808267	808323	57
6369	"chrIV"	809022	809156	"+"	809138	2.82258785338296	1.07527156319351	809093	809156	64
6374	"chrIV"	809871	809909	"+"	809874	1.15591693043302	0.967744406874157	809873	809874	2
6377	"chrIV"	812017	812663	"+"	812087	187.258542730149	41.8818273863871	812079	812322	244
6380	"chrIV"	814364	814623	"+"	814423	41.4517187611097	4.89248561253046	814395	814462	68
6381	"chrIV"	814692	814939	"+"	814791	2.41936101718539	0.59139935975643	814693	814845	153
6385	"chrIV"	815730	816259	"+"	815914	1.04838977411367	0.430108625277403	815756	816167	412
6386	"chrIV"	816723	817461	"+"	816780	197.500504369568	32.5807283647633	816762	816856	95
6389	"chrIV"	817743	818144	"+"	817848	136.962715361773	28.1989967447498	817840	817943	104
6390	"chrIV"	818191	818444	"+"	818349	1.58602555571042	0.672044726995943	818205	818363	159
6391	"chrIV"	819324	819412	"+"	819335	4.75807666713127	1.74731629018945	819332	819388	57
6392	"chrIV"	821130	821225	"+"	821149	7.60754630959407	2.98387858786199	821142	821219	78
6393	"chrIV"	821283	821288	"+"	821284	0.403226836197566	0.268817890798377	821284	821288	5
6399	"chrIV"	827485	827699	"+"	827575	85.8066707428419	20.7796229587145	827529	827575	47
6400	"chrIV"	827851	827934	"+"	827883	0.376345047117728	0.241936101718539	827880	827883	4
6403	"chrIV"	828372	828440	"+"	828374	0.725808305155618	0.483872203437079	828373	828439	67
6404	"chrIV"	828518	828568	"+"	828568	0.69892651607578	0.215054312638702	828521	828568	48
6405	"chrIV"	828666	828775	"+"	828775	1.10215335227335	0.672044726995943	828774	828775	2
6407	"chrIV"	829463	829831	"+"	829570	25.7796357275644	3.87097762749663	829515	829585	71
6408	"chrIV"	831761	831767	"+"	831767	0.510753992516916	0.241936101718539	831762	831767	6
6416	"chrIV"	835881	835945	"+"	835932	1.04838977411367	0.376345047117728	835914	835932	19
6417	"chrIV"	836122	836186	"+"	836164	6.02152075388365	1.80107986834913	836131	836164	34
6419	"chrIV"	836304	836803	"+"	836384	160.134817548593	20.1344600207984	836358	836399	42
6420	"chrIV"	836878	836980	"+"	836955	0.860217250554806	0.34946325803789	836926	836971	46
6421	"chrIV"	837054	837080	"+"	837056	0.725808305155618	0.34946325803789	837055	837076	22
6422	"chrIV"	837152	837225	"+"	837199	1.55914376663059	1.04838977411367	837199	837219	21
6423	"chrIV"	837277	837296	"+"	837295	0.725808305155618	0.430108625277403	837295	837296	2
6424	"chrIV"	837366	837505	"+"	837379	1.6397891338701	0.887099039634644	837379	837505	127
6425	"chrIV"	837564	837847	"+"	837606	2.66129711890393	0.295699679878215	837603	837746	144
6427	"chrIV"	838322	838438	"+"	838350	53.9786324723141	7.23120126247634	838328	838386	59
6428	"chrIV"	838469	838685	"+"	838555	0.241936101718539	0.537635781596754	838522	838627	106
6430	"chrIV"	838967	838996	"+"	838973	0.672044726995943	0.430108625277403	838972	838996	25
6435	"chrIV"	840164	840166	"+"	840166	0.59139935975643	0.403226836197566	840165	840166	2
6437	"chrIV"	842256	842339	"+"	842322	6.39786580100137	1.53226197755075	842285	842322	38
6442	"chrIV"	845426	845518	"+"	845488	1.82796165742896	0.779571883315293	845460	845492	33
6443	"chrIV"	848337	848400	"+"	848360	6.3441022228417	4.11291372921517	848354	848375	22
6444	"chrIV"	848434	848583	"+"	848510	0.241936101718539	0.161290734479026	848510	848540	31
6448	"chrIV"	849024	849236	"+"	849052	4.81184024529095	0.510753992516916	849052	849113	62
6451	"chrIV"	849657	849864	"+"	849749	1.77419807926929	0.752690094235456	849675	849829	155
6454	"chrIV"	851143	851233	"+"	851195	24.3817826954128	8.38711819290936	851195	851227	33
